started,started,started,2020-03-06 07:43:00
14,0.005046446614482618,0.005226464825682342,2020-03-06 10:02:31
15,0.005043648259304728,0.005204815766774118,2020-03-06 10:02:34
16,0.005040837722625716,0.005305523576680571,2020-03-06 10:02:37
17,0.005042363650079632,0.005345717130694538,2020-03-06 10:02:40
18,0.0050425102937543854,0.005198211641982198,2020-03-06 10:02:43
19,0.005040514066564382,0.00532300875056535,2020-03-06 10:02:45
20,0.005036832130652793,0.005340753472410142,2020-03-06 10:02:48
21,0.005037299522482757,0.005266127467621118,2020-03-06 10:02:51
22,0.005037204502810929,0.0053076500771567225,2020-03-06 10:02:54
23,0.0050357993021739504,0.00522700056899339,2020-03-06 10:02:56
24,0.005036575424134837,0.005260686797555536,2020-03-06 10:02:59
25,0.005034393581383406,0.005107696168124676,2020-03-06 10:03:02
26,0.005035011049901657,0.005184169946005568,2020-03-06 10:03:05
27,0.005037044691820199,0.005240609752945602,2020-03-06 10:03:08
28,0.0050329266773232965,0.00525928201386705,2020-03-06 10:03:11
29,0.0050359609642508605,0.005281154648400843,2020-03-06 10:03:13
30,0.005034152051790598,0.005550380912609398,2020-03-06 10:03:16
31,0.0050358860274605085,0.005330847285222262,2020-03-06 10:03:19
32,0.005033501232346744,0.005202806962188333,2020-03-06 10:03:22
33,0.005033685731642107,0.005158572603249922,2020-03-06 10:03:25
34,0.005035160705513248,0.005310009350068867,2020-03-06 10:03:28
35,0.00503329396683802,0.005267872533295304,2020-03-06 10:03:30
36,0.005033841067660891,0.0051899467944167554,2020-03-06 10:03:33
37,0.00503278459778967,0.005320966651197523,2020-03-06 10:03:36
38,0.005033208788801909,0.005142587615409866,2020-03-06 10:03:39
39,0.005031209270608552,0.005341627402231097,2020-03-06 10:03:42
40,0.005034123255098437,0.005219451617449522,2020-03-06 10:03:44
41,0.0050342748823397334,0.005227363639278337,2020-03-06 10:03:47
42,0.005031927145277777,0.00535414699697867,2020-03-06 10:03:50
43,0.005033523344652767,0.0053623485728167,2020-03-06 10:03:53
44,0.005032224585599405,0.005308028950821608,2020-03-06 10:03:56
45,0.005034624382602514,0.005142034206073731,2020-03-06 10:03:59
46,0.005034265988539403,0.005284637969452888,2020-03-06 10:04:01
47,0.00503376039927363,0.00523543416056782,2020-03-06 10:04:04
48,0.005031683343522092,0.005297536612488329,2020-03-06 10:04:07
49,0.005031810891781504,0.005206189700402319,2020-03-06 10:04:10
